Time (ms),Conductance,X,Y,Z
42,0,180.4,-3.0,5.0
46,0,180.4,-3.0,5.0
50,0,180.4,-3.0,5.0
152,0,180.4,-3.0,5.0
158,0,180.4,-3.0,5.0
161,0,180.4,-3.0,5.0
262,0,180.4,-3.0,5.0
372,0,180.4,-3.0,5.0
504,0,180.4,-3.0,5.0
590,0,180.4,-3.0,5.0
700,0,180.4,-3.0,5.0
810,0,180.4,-3.0,5.0
917,0,180.4,-3.0,5.0
1048,0,180.4,-3.0,5.0
1138,0,180.4,-3.0,5.0
1245,0,180.4,-3.0,5.0
1357,0,180.4,-3.0,5.0
1467,0,180.4,-3.0,5.0
1577,0,180.4,-3.0,5.0
1683,0,180.4,-3.0,5.0
1792,0,180.4,-3.0,5.0
1903,0,180.4,-3.0,5.0
2012,0,180.4,-3.0,5.0
2122,0,180.4,-3.0,5.0
2244,0,180.4,-3.0,5.0
2342,0,180.4,-3.0,5.0
2452,0,180.4,-3.0,5.0
2562,0,180.4,-3.0,5.0
2667,0,180.4,-3.0,5.0
2777,0,180.4,-3.0,5.0
2899,0,180.4,-3.0,5.0
2997,0,180.4,-3.0,5.0
3107,0,180.4,-3.0,5.0
3214,0,180.4,-3.0,5.0
3327,0,180.4,-3.0,5.0
3435,0,180.4,-3.0,5.0
3557,0,180.4,-3.0,5.0
3652,0,180.4,-3.0,5.0
3763,0,180.4,-3.0,5.0
3870,0,180.4,-3.0,5.0
3981,0,180.4,-3.0,5.0
4092,0,180.4,-3.0,5.0
