Time (ms),Conductance,X,Y,Z
92,0,180.4,-3.0,5.0
95,0,180.4,-3.0,5.0
99,0,180.4,-3.0,5.0
208,0,180.4,-3.0,5.0
213,0,180.4,-3.0,5.0
218,0,180.4,-3.0,5.0
311,0,180.4,-3.0,5.0
421,0,180.4,-3.0,5.0
550,0,180.4,-3.0,5.0
639,0,180.4,-3.0,5.0
756,0,180.4,-3.0,5.0
858,0,180.4,-3.0,5.0
984,0,180.4,-3.0,5.0
1082,0,180.4,-3.0,5.0
1187,0,180.4,-3.0,5.0
1305,0,180.4,-3.0,5.0
1422,0,180.4,-3.0,5.0
1538,0,180.4,-3.0,5.0
1651,0,180.4,-3.0,5.0
1740,0,180.4,-3.0,5.0
1856,0,180.4,-3.0,5.0
1953,0,180.4,-3.0,5.0
2067,0,180.4,-3.0,5.0
2174,0,180.4,-3.0,5.0
2279,0,180.4,-3.0,5.0
2401,0,180.4,-3.0,5.0
2509,0,180.4,-3.0,5.0
2608,0,180.4,-3.0,5.0
2718,0,180.4,-3.0,5.0
2828,0,180.4,-3.0,5.0
2952,0,180.4,-3.0,5.0
3048,0,180.4,-3.0,5.0
3158,0,180.4,-3.0,5.0
3268,0,180.4,-3.0,5.0
3394,0,180.4,-3.0,5.0
3483,0,180.4,-3.0,5.0
3596,0,180.4,-3.0,5.0
3714,0,180.4,-3.0,5.0
3814,0,180.4,-3.0,5.0
