Time (ms),Conductance,X,Y,Z
173,0,180.4,-3.0,0.0
666,0,180.4,-3.0,0.0
1166,0,180.4,-3.0,0.0
1666,0,180.4,-3.0,0.0
2165,0,180.4,5.0,0.0
2670,0,180.4,5.0,0.0
3181,0,180.4,5.0,0.0
3666,0,180.4,5.0,-10.0
4166,0,180.4,5.0,-10.0
4670,0,180.4,5.0,-10.0
5166,0,180.4,5.0,-10.0
5666,0,180.4,5.0,-10.0
6173,0,180.4,5.0,-10.0
6685,0,180.4,5.0,-10.0
7185,0,180.4,5.0,-10.0
7681,0,180.4,5.0,-10.0
8186,0,180.4,5.0,-10.0
8684,0,180.4,5.0,-10.0
9181,0,180.4,5.0,-10.0
9685,0,180.4,5.0,-10.0
10188,0,180.4,5.0,0.0
10685,0,180.4,5.0,0.0
11198,0,180.4,5.0,0.0
11700,0,180.4,5.0,0.0
12200,0,180.4,5.0,0.0
12702,0,180.4,5.0,0.0
13201,0,180.4,5.0,0.0
13700,0,180.4,5.0,0.0
14198,0,180.4,5.0,0.0
14700,0,180.4,5.0,0.0
15201,0,182.4,5.0,-10.0
15701,0,182.4,5.0,-10.0
16205,0,182.4,5.0,-10.0
16700,0,182.4,5.0,-10.0
17214,0,182.4,5.0,-10.0
17715,0,182.4,5.0,-10.0
18213,0,182.4,5.0,-10.0
18716,0,182.4,5.0,-10.0
19216,0,182.4,5.0,-10.0
19715,0,182.4,5.0,-10.0
20230,0,182.4,5.0,-10.0
20737,0,182.4,5.0,-10.0
21231,0,182.4,5.0,-10.0
21730,0,182.4,5.0,0.0
22230,0,182.4,5.0,0.0
22735,0,182.4,5.0,0.0
23231,0,182.4,5.0,0.0
23730,0,182.4,5.0,0.0
24229,0,182.4,5.0,0.0
24731,0,182.4,5.0,0.0
25229,0,182.4,5.0,0.0
25731,0,182.4,5.0,0.0
26230,0,182.4,5.0,0.0
26731,0,184.4,5.0,-10.0
27244,0,184.4,5.0,-10.0
27746,0,184.4,5.0,-10.0
28246,0,184.4,5.0,-10.0
28746,0,184.4,5.0,-10.0
29246,0,184.4,5.0,-10.0
29746,0,184.4,5.0,-10.0
30245,0,184.4,5.0,-10.0
30745,0,184.4,5.0,-10.0
31256,0,184.4,5.0,-10.0
31746,0,184.4,5.0,-10.0
32245,0,184.4,5.0,-10.0
32750,0,184.4,5.0,-10.0
33246,0,184.4,5.0,0.0
33746,0,184.4,5.0,0.0
34248,0,184.4,5.0,0.0
34751,0,184.4,5.0,0.0
35245,0,184.4,5.0,0.0
35746,0,184.4,5.0,0.0
36245,0,184.4,5.0,0.0
36746,0,184.4,5.0,0.0
37246,0,184.4,5.0,0.0
37744,0,184.4,5.0,0.0
38245,0,184.4,0.0,-10.0
