Time (ms),Conductance,X,Y,Z
29,0,176.01,-5.0,-5.0
29,0,176.01,-5.0,-5.0
29,0,176.01,-5.0,-5.0
89,0,176.01,-5.0,-5.0
90,0,176.01,-5.0,-5.0
90,0,176.01,-5.0,-5.0
152,0,176.01,-5.0,-5.0
213,0,176.01,-5.0,-5.0
279,0,176.01,-5.0,-5.0
337,0,176.01,-5.0,-5.0
402,0,176.01,-5.0,-5.0
462,0,176.01,-5.0,-5.0
526,0,176.01,-5.0,-5.0
587,0,176.01,-5.0,-5.0
653,0,176.01,-5.0,-5.0
713,0,176.01,-5.0,-5.0
780,0,176.01,-5.0,-5.0
839,0,176.01,-5.0,-5.0
904,0,176.01,-5.0,-5.0
968,0,176.01,-5.0,-5.0
1025,0,176.01,-5.0,-5.0
1087,0,176.01,-5.0,-5.0
1153,0,176.01,-5.0,-5.0
1212,0,176.01,-5.0,-5.0
1278,0,176.01,-5.0,-5.0
1338,0,176.01,-5.0,-5.0
1403,0,176.01,-5.0,-5.0
1462,0,176.01,-5.0,-5.0
1527,0,176.01,-5.0,-5.0
1595,0,176.01,-5.0,-15.0
1657,0,176.01,-5.0,-15.0
1657,0,176.01,-5.0,-15.0
1658,0,176.01,-5.0,-15.0
1721,0,176.01,-5.0,-15.0
1784,0,176.01,-5.0,-15.0
1785,0,176.01,-5.0,-15.0
1785,0,176.01,-5.0,-15.0
1838,0,176.01,-5.0,-15.0
1904,0,176.01,-5.0,-15.0
1962,0,176.01,-5.0,-15.0
2026,0,176.01,-5.0,-15.0
2087,0,176.01,-5.0,-15.0
2152,0,176.01,-5.0,-15.0
2212,0,176.01,-5.0,-15.0
2275,0,176.01,-5.0,-15.0
2338,0,176.01,-5.0,-15.0
2407,0,176.01,-5.0,-15.0
2465,0,176.01,-5.0,-15.0
2535,0,176.01,-5.0,-15.0
2587,0,176.01,-5.0,-15.0
2654,0,176.01,-5.0,-15.0
2713,0,176.01,-5.0,-15.0
2779,0,176.01,-5.0,-15.0
2840,0,176.01,-5.0,-15.0
2903,0,176.01,-5.0,-15.0
2962,0,176.01,-5.0,-15.0
3027,0,176.01,-5.0,-15.0
3087,0,176.01,-5.0,-15.0
3151,0,176.01,-5.0,-15.0
3212,0,176.01,-5.0,-15.0
3277,0,176.01,-5.0,-15.0
3338,0,176.01,-5.0,-15.0
3402,0,176.01,-5.0,-15.0
3463,0,176.01,-5.0,-15.0
3529,0,176.01,-5.0,-15.0
3592,0,176.01,-5.0,-15.0
3655,0,176.01,-5.0,-15.0
3712,0,176.01,-5.0,-15.0
3777,0,176.01,-5.0,-15.0
3837,0,176.01,-5.0,-15.0
3908,0,176.01,-5.0,-15.0
3963,0,176.01,-5.0,-15.0
4034,0,176.01,-5.0,-15.0
4087,0,176.01,-5.0,-15.0
4159,0,176.01,-5.0,-15.0
4213,0,176.01,-5.0,-15.0
4283,0,176.01,-5.0,-15.0
4343,0,176.01,-5.0,-15.0
4415,0,176.01,-5.0,-15.0
4463,0,176.01,-5.0,-15.0
4533,0,176.01,-5.0,-15.0
4587,0,176.01,-5.0,-15.0
4660,0,176.01,-5.0,-15.0
4713,0,176.01,-5.0,-15.0
4785,0,176.01,-5.0,-15.0
4838,0,176.01,-5.0,-15.0
4909,0,176.01,-5.0,-15.0
4962,0,176.01,-5.0,-15.0
5038,0,176.01,-5.0,-15.0
5097,0,176.01,-5.0,-15.0
5158,0,176.01,-5.0,-15.0
5212,0,176.01,-5.0,-15.0
5285,0,176.01,-5.0,-15.0
5337,0,176.01,-5.0,-15.0
5408,0,176.01,-5.0,-15.0
5464,0,176.01,-5.0,-15.0
5535,0,176.01,-5.0,-15.0
5587,0,176.01,-5.0,-15.0
5659,0,176.01,-5.0,-15.0
5712,0,176.01,-5.0,-15.0
5784,0,176.01,-5.0,-15.0
5837,0,176.01,-5.0,-15.0
5910,0,176.01,-5.0,-15.0
5964,0,176.01,-5.0,-15.0
6035,0,176.01,-5.0,-15.0
6087,0,176.01,-5.0,-15.0
6159,0,176.01,-5.0,-15.0
6216,0,176.01,-5.0,-15.0
6284,0,176.01,-5.0,-15.0
6344,0,176.01,-5.0,-15.0
6409,0,176.01,-5.0,-15.0
6463,0,176.01,-5.0,-15.0
6533,0,176.01,-5.0,-15.0
6587,0,176.01,-5.0,-15.0
6660,0,176.01,-5.0,-15.0
6713,0,176.01,-5.0,-15.0
6785,0,176.01,-5.0,-15.0
6839,0,176.01,-5.0,-15.0
6908,0,176.01,-5.0,-15.0
6968,0,176.01,-5.0,-15.0
7039,0,200.06,-15.2,-15.0
7097,0,200.06,-15.2,-15.0
7097,0,200.06,-15.2,-15.0
7097,0,200.06,-15.2,-15.0
7159,0,200.06,-15.2,-15.0
7159,0,200.06,-15.2,-15.0
7160,0,200.06,-15.2,-15.0
7212,0,200.06,-15.2,-15.0
7284,0,200.06,-15.2,-15.0
7285,0,200.06,-15.2,-15.0
7286,0,200.06,-15.2,-15.0
7338,0,200.06,-15.2,-15.0
7338,0,200.06,-15.2,-15.0
7338,0,200.06,-15.2,-15.0
7407,0,200.06,-15.2,-15.0
7462,0,200.06,-15.2,-15.0
7462,0,200.06,-15.2,-15.0
7463,0,200.06,-15.2,-15.0
7534,0,200.06,-15.2,-15.0
7587,0,200.06,-15.2,-15.0
7660,0,200.06,-15.2,-15.0
7721,0,200.06,-15.2,-15.0
7790,0,200.06,-15.2,-15.0
7838,0,200.06,-15.2,-15.0
7902,0,200.06,-15.2,-15.0
7962,0,200.06,-15.2,-15.0
8027,0,200.06,-15.2,-15.0
8089,0,200.06,-15.2,-15.0
8153,0,200.06,-15.2,-15.0
8216,0,200.06,-15.2,-15.0
8278,0,200.06,-15.2,-15.0
