Time (ms),Conductance,X,Y,Z
30,0,186.0,-2.0,5.0
33,0,186.0,-2.0,5.0
36,0,186.0,-2.0,5.0
109,0,186.0,-2.0,5.0
113,0,186.0,-2.0,5.0
117,0,186.0,-2.0,5.0
219,0,186.0,-2.0,5.0
329,0,186.0,-2.0,5.0
436,0,186.0,-2.0,5.0
557,0,186.0,-2.0,5.0
654,0,186.0,-2.0,5.0
764,0,186.0,-2.0,5.0
874,0,186.0,-2.0,5.0
986,0,186.0,-2.0,5.0
1102,0,186.0,-2.0,5.0
1217,0,186.0,-2.0,5.0
1311,0,186.0,-2.0,5.0
1421,0,186.0,-2.0,5.0
1532,0,186.0,-2.0,5.0
1644,0,186.0,-2.0,5.0
1758,0,186.0,-2.0,5.0
1862,0,186.0,-2.0,5.0
1973,0,186.0,-2.0,5.0
2086,0,186.0,-2.0,5.0
2186,0,186.0,-2.0,5.0
