Time (ms),Conductance,X,Y,Z
28,0,186.0,-2.0,5.0
31,0,186.0,-2.0,5.0
35,0,186.0,-2.0,5.0
137,0,186.0,-2.0,5.0
143,0,186.0,-2.0,5.0
147,0,186.0,-2.0,5.0
248,0,186.0,-2.0,5.0
372,0,186.0,-2.0,5.0
468,0,186.0,-2.0,5.0
578,0,186.0,-2.0,5.0
682,0,186.0,-2.0,5.0
793,0,186.0,-2.0,5.0
916,0,186.0,-2.0,5.0
1013,0,186.0,-2.0,5.0
1122,0,186.0,-2.0,5.0
1234,0,186.0,-2.0,5.0
1342,0,186.0,-2.0,5.0
1451,0,186.0,-2.0,5.0
1576,0,186.0,-2.0,5.0
1667,0,186.0,-2.0,5.0
1777,0,186.0,-2.0,5.0
1887,0,186.0,-2.0,5.0
1997,0,186.0,-2.0,5.0
2107,0,186.0,-2.0,5.0
2231,0,186.0,-2.0,5.0
2327,0,186.0,-2.0,5.0
2432,0,186.0,-2.0,5.0
2544,0,186.0,-2.0,5.0
2661,0,186.0,-2.0,5.0
2781,0,186.0,-2.0,5.0
2873,0,186.0,-2.0,5.0
2982,0,186.0,-2.0,5.0
3093,0,186.0,-2.0,5.0
3202,0,186.0,-2.0,5.0
3309,0,186.0,-2.0,5.0
3436,0,186.0,-2.0,5.0
3528,0,186.0,-2.0,5.0
3649,0,186.0,-2.0,5.0
3762,0,186.0,-2.0,5.0
3861,0,186.0,-2.0,5.0
3982,0,186.0,-2.0,5.0
4093,0,186.0,-2.0,5.0
4186,0,186.0,-2.0,5.0
4296,0,186.0,-2.0,5.0
4414,0,186.0,-2.0,5.0
4543,0,186.0,-2.0,5.0
4621,0,186.0,-2.0,5.0
4732,0,186.0,-2.0,5.0
4840,0,186.0,-2.0,5.0
4948,0,186.0,-2.0,5.0
5075,0,186.0,-2.0,5.0
5167,0,186.0,-2.0,5.0
5279,0,186.0,-2.0,5.0
5387,0,186.0,-2.0,5.0
5497,0,186.0,-2.0,5.0
5610,0,186.0,-2.0,5.0
5718,0,186.0,-2.0,5.0
5823,0,186.0,-2.0,5.0
5937,0,186.0,-2.0,5.0
6042,0,186.0,-2.0,5.0
6165,0,186.0,-2.0,5.0
6262,0,186.0,-2.0,5.0
6373,0,186.0,-2.0,5.0
6483,0,186.0,-2.0,5.0
