Time (ms),Conductance,X,Y,Z
12,0,180.4,-3.0,5.0
17,0,180.4,-3.0,5.0
22,0,180.4,-3.0,5.0
119,0,180.4,-3.0,5.0
124,0,180.4,-3.0,5.0
128,0,180.4,-3.0,5.0
229,0,180.4,-3.0,5.0
339,0,180.4,-3.0,5.0
449,0,180.4,-3.0,5.0
1213,0,180.4,-3.0,5.0
1217,0,180.4,-3.0,5.0
1221,0,180.4,-3.0,5.0
1320,0,180.4,-3.0,5.0
1429,0,180.4,-3.0,5.0
1539,0,180.4,-3.0,5.0
1648,0,180.4,-3.0,5.0
1771,0,180.4,-3.0,5.0
1869,0,180.4,-3.0,5.0
1979,0,180.4,-3.0,5.0
2089,0,180.4,-3.0,5.0
2200,0,180.4,-3.0,5.0
2309,0,180.4,-3.0,5.0
2414,0,180.4,-3.0,5.0
2523,0,180.4,-3.0,5.0
2634,0,180.4,-3.0,5.0
2744,0,180.4,-3.0,5.0
2855,0,180.4,-3.0,5.0
2964,0,180.4,-3.0,5.0
3074,0,180.4,-3.0,5.0
3179,0,180.4,-3.0,5.0
3301,0,180.4,-3.0,5.0
3417,0,180.4,-3.0,5.0
3509,0,180.4,-3.0,5.0
