Time (ms),Conductance,X,Y,Z
50,0,180.4,-3.0,5.0
54,0,180.4,-3.0,5.0
58,0,180.4,-3.0,5.0
159,0,180.4,-3.0,5.0
164,0,180.4,-3.0,5.0
168,0,180.4,-3.0,5.0
270,0,180.4,-3.0,5.0
375,0,180.4,-3.0,5.0
484,0,180.4,-3.0,5.0
594,0,180.4,-3.0,5.0
705,0,180.4,-3.0,5.0
815,0,180.4,-3.0,5.0
927,0,180.4,-3.0,5.0
1051,0,180.4,-3.0,5.0
1140,0,180.4,-3.0,5.0
1250,0,180.4,-3.0,5.0
1360,0,180.4,-3.0,5.0
1470,0,180.4,-3.0,5.0
1599,0,180.4,-3.0,5.0
1690,0,180.4,-3.0,5.0
1800,0,180.4,-3.0,5.0
1906,0,180.4,-3.0,5.0
2014,0,180.4,-3.0,5.0
2147,0,180.4,-3.0,5.0
2235,0,180.4,-3.0,5.0
2345,0,180.4,-3.0,5.0
2455,0,180.4,-3.0,5.0
2565,0,180.4,-3.0,5.0
