Time (ms),Conductance,X,Y,Z
91,0,180.4,-3.0,5.0
96,0,180.4,-3.0,5.0
101,0,180.4,-3.0,5.0
201,0,180.4,-3.0,5.0
206,0,180.4,-3.0,5.0
211,0,180.4,-3.0,5.0
310,0,180.4,-3.0,5.0
420,0,180.4,-3.0,5.0
547,0,180.4,-3.0,5.0
641,0,180.4,-3.0,5.0
750,0,180.4,-3.0,5.0
856,0,180.4,-3.0,5.0
969,0,180.4,-3.0,5.0
1079,0,180.4,-3.0,5.0
1185,0,180.4,-3.0,5.0
1294,0,180.4,-3.0,5.0
1406,0,180.4,-3.0,5.0
1516,0,180.4,-3.0,5.0
1625,0,180.4,-3.0,5.0
1737,0,180.4,-3.0,5.0
1841,0,180.4,-3.0,5.0
1956,0,180.4,-3.0,5.0
2062,0,180.4,-3.0,5.0
2181,0,180.4,-3.0,5.0
2282,0,180.4,-3.0,5.0
2402,0,180.4,-3.0,5.0
2500,0,180.4,-3.0,5.0
2613,0,180.4,-3.0,5.0
2722,0,180.4,-3.0,5.0
2846,0,180.4,-3.0,5.0
2946,0,180.4,-3.0,5.0
3059,0,180.4,-3.0,5.0
3172,0,180.4,-3.0,5.0
3279,0,180.4,-3.0,5.0
3376,0,180.4,-3.0,5.0
3481,0,180.4,-3.0,5.0
3591,0,180.4,-3.0,5.0
3700,0,180.4,-3.0,5.0
3818,0,180.4,-3.0,5.0
