Time (ms),Conductance,X,Y,Z
56,0,180.4,-3.0,5.0
61,0,180.4,-3.0,5.0
66,0,180.4,-3.0,5.0
169,0,180.4,-3.0,5.0
174,0,180.4,-3.0,5.0
177,0,180.4,-3.0,5.0
273,0,180.4,-3.0,5.0
380,0,180.4,-3.0,5.0
487,0,180.4,-3.0,5.0
597,0,180.4,-3.0,5.0
716,0,180.4,-3.0,5.0
823,0,180.4,-3.0,5.0
925,0,180.4,-3.0,5.0
1034,0,180.4,-3.0,5.0
1144,0,180.4,-3.0,5.0
1254,0,180.4,-3.0,5.0
1364,0,180.4,-3.0,5.0
1472,0,180.4,-3.0,5.0
1599,0,180.4,-3.0,5.0
1693,0,180.4,-3.0,5.0
1801,0,180.4,-3.0,5.0
1910,0,180.4,-3.0,5.0
2019,0,180.4,-3.0,5.0
2129,0,180.4,-3.0,5.0
2240,0,180.4,-3.0,5.0
2349,0,180.4,-3.0,5.0
2459,0,180.4,-3.0,5.0
2571,0,180.4,-3.0,5.0
2677,0,180.4,-3.0,5.0
2784,0,180.4,-3.0,5.0
2895,0,180.4,-3.0,5.0
3005,0,180.4,-3.0,5.0
3114,0,180.4,-3.0,5.0
3225,0,180.4,-3.0,5.0
3345,0,180.4,-3.0,5.0
3444,0,180.4,-3.0,5.0
3549,0,180.4,-3.0,5.0
3659,0,180.4,-3.0,5.0
3769,0,180.4,-3.0,5.0
3882,0,180.4,-3.0,5.0
3989,0,180.4,-3.0,5.0
4099,0,180.4,-3.0,5.0
4210,0,180.4,-3.0,5.0
4315,0,180.4,-3.0,5.0
4425,0,180.4,-3.0,5.0
4536,0,180.4,-3.0,5.0
4644,0,180.4,-3.0,5.0
4755,0,180.4,-3.0,5.0
4864,0,180.4,-3.0,5.0
4974,0,180.4,-3.0,5.0
5085,0,180.4,-3.0,5.0
5194,0,180.4,-3.0,5.0
5299,0,180.4,-3.0,5.0
5409,0,180.4,-3.0,5.0
5518,0,180.4,-3.0,5.0
5629,0,180.4,-3.0,5.0
5739,0,180.4,-3.0,5.0
5849,0,180.4,-3.0,5.0
5960,0,180.4,-3.0,5.0
6065,0,180.4,-3.0,5.0
6184,0,180.4,-3.0,5.0
6285,0,180.4,-3.0,5.0
6394,0,180.4,-3.0,5.0
6502,0,180.4,-3.0,5.0
6614,0,180.4,-3.0,5.0
6743,0,180.4,-3.0,5.0
