Time (ms),Conductance,X,Y,Z
104,0,180.4,-3.0,5.0
109,0,180.4,-3.0,5.0
114,0,180.4,-3.0,5.0
214,0,180.4,-3.0,5.0
219,0,180.4,-3.0,5.0
223,0,180.4,-3.0,5.0
325,0,180.4,-3.0,5.0
434,0,180.4,-3.0,5.0
543,0,180.4,-3.0,5.0
651,0,180.4,-3.0,5.0
765,0,180.4,-3.0,5.0
874,0,180.4,-3.0,5.0
979,0,180.4,-3.0,5.0
1089,0,180.4,-3.0,5.0
1199,0,180.4,-3.0,5.0
1323,0,180.4,-3.0,5.0
1419,0,180.4,-3.0,5.0
1529,0,180.4,-3.0,5.0
1637,0,180.4,-3.0,5.0
1745,0,180.4,-3.0,5.0
1859,0,180.4,-3.0,5.0
1964,0,180.4,-3.0,5.0
3935,0,180.4,-3.0,5.0
3941,0,180.4,-3.0,5.0
3955,0,180.4,-3.0,5.0
4055,0,180.4,-3.0,5.0
4154,0,180.4,-3.0,5.0
4269,0,180.4,-3.0,5.0
4383,0,180.4,-3.0,5.0
4495,0,180.4,-3.0,5.0
4604,0,180.4,-3.0,5.0
4726,0,180.4,-3.0,5.0
