Time (ms),Conductance,X,Y,Z
100,0,186.0,-2.0,5.0
105,0,186.0,-2.0,5.0
109,0,186.0,-2.0,5.0
211,0,186.0,-2.0,5.0
215,0,186.0,-2.0,5.0
220,0,186.0,-2.0,5.0
320,0,186.0,-2.0,5.0
439,0,186.0,-2.0,5.0
552,0,186.0,-2.0,5.0
645,0,186.0,-2.0,5.0
759,0,186.0,-2.0,5.0
864,0,186.0,-2.0,5.0
976,0,186.0,-2.0,5.0
1089,0,186.0,-2.0,5.0
1195,0,186.0,-2.0,5.0
1301,0,186.0,-2.0,5.0
1411,0,186.0,-2.0,5.0
1520,0,186.0,-2.0,5.0
1645,0,186.0,-2.0,5.0
1750,0,186.0,-2.0,5.0
1852,0,186.0,-2.0,5.0
1964,0,186.0,-2.0,5.0
2087,0,186.0,-2.0,5.0
2184,0,186.0,-2.0,5.0
2289,0,186.0,-2.0,5.0
2405,0,186.0,-2.0,5.0
2512,0,186.0,-2.0,5.0
2625,0,186.0,-2.0,5.0
2746,0,186.0,-2.0,5.0
2850,0,186.0,-2.0,5.0
2958,0,186.0,-2.0,5.0
3071,0,186.0,-2.0,5.0
3160,0,186.0,-2.0,5.0
3288,0,186.0,-2.0,5.0
3381,0,186.0,-2.0,5.0
8083,0,186.0,-2.0,5.0
8089,0,186.0,-2.0,5.0
8094,0,186.0,-2.0,5.0
8192,0,186.0,-2.0,5.0
8321,0,186.0,-2.0,5.0
8411,0,186.0,-2.0,5.0
8521,0,186.0,-2.0,5.0
8631,0,186.0,-2.0,5.0
8740,0,186.0,-2.0,5.0
8868,0,186.0,-2.0,5.0
8960,0,186.0,-2.0,5.0
9067,0,186.0,-2.0,5.0
9176,0,186.0,-2.0,5.0
