Time (ms),Conductance,X,Y,Z
108,0,180.4,-3.0,5.0
111,0,180.4,-3.0,5.0
113,0,180.4,-3.0,5.0
224,0,180.4,-3.0,5.0
227,0,180.4,-3.0,5.0
230,0,180.4,-3.0,5.0
325,0,180.4,-3.0,5.0
435,0,180.4,-3.0,5.0
545,0,180.4,-3.0,5.0
653,0,180.4,-3.0,5.0
767,0,180.4,-3.0,5.0
872,0,180.4,-3.0,5.0
993,0,180.4,-3.0,5.0
1092,0,180.4,-3.0,5.0
1202,0,180.4,-3.0,5.0
1313,0,180.4,-3.0,5.0
1423,0,180.4,-3.0,5.0
1532,0,180.4,-3.0,5.0
1638,0,180.4,-3.0,5.0
1763,0,180.4,-3.0,5.0
1857,0,180.4,-3.0,5.0
1967,0,180.4,-3.0,5.0
2077,0,180.4,-3.0,5.0
2187,0,180.4,-3.0,5.0
