Time (ms),Conductance,X,Y,Z
10,0,181.0,-3.0,5.0
14,0,181.0,-3.0,5.0
17,0,181.0,-3.0,5.0
157,0,181.0,-3.0,5.0
161,0,181.0,-3.0,5.0
164,0,181.0,-3.0,5.0
234,0,181.0,-3.0,5.0
338,0,181.0,-3.0,5.0
449,0,181.0,-3.0,5.0
581,0,181.0,-3.0,5.0
676,0,181.0,-3.0,5.0
784,0,181.0,-3.0,5.0
906,0,181.0,-3.0,5.0
1015,0,181.0,-3.0,5.0
1121,0,181.0,-3.0,5.0
1214,0,181.0,-3.0,5.0
1323,0,181.0,-3.0,5.0
1445,0,181.0,-3.0,5.0
1555,0,181.0,-3.0,5.0
1656,0,181.0,-3.0,5.0
1760,0,181.0,-3.0,5.0
1870,0,181.0,-3.0,5.0
1979,0,181.0,-3.0,5.0
2091,0,181.0,-3.0,5.0
2200,0,181.0,-3.0,5.0
2329,0,181.0,-3.0,5.0
2416,0,181.0,-3.0,5.0
2526,0,181.0,-3.0,5.0
2636,0,181.0,-3.0,5.0
2748,0,181.0,-3.0,5.0
2854,0,181.0,-3.0,5.0
2966,0,181.0,-3.0,5.0
3077,0,181.0,-3.0,5.0
3187,0,181.0,-3.0,5.0
3295,0,181.0,-3.0,5.0
3401,0,181.0,-3.0,30.0
3510,0,181.0,-3.0,30.0
3516,0,181.0,-3.0,30.0
3521,0,181.0,-3.0,30.0
3621,0,181.0,-3.0,30.0
3732,0,181.0,-3.0,30.0
3737,0,181.0,-3.0,30.0
3742,0,181.0,-3.0,30.0
3842,0,181.0,-3.0,30.0
3968,0,181.0,-3.0,30.0
4059,0,181.0,-3.0,30.0
4166,0,181.0,-3.0,30.0
4276,0,181.0,-3.0,30.0
4391,0,181.0,-3.0,30.0
4515,0,181.0,-3.0,30.0
4606,0,181.0,-3.0,30.0
4714,0,181.0,-3.0,30.0
4823,0,181.0,-3.0,30.0
4936,0,181.0,-3.0,30.0
5042,0,181.0,-3.0,30.0
5152,0,181.0,-3.0,30.0
5260,0,181.0,-3.0,30.0
5370,0,181.0,-3.0,30.0
5481,0,181.0,-3.0,30.0
5607,0,181.0,-3.0,30.0
5701,0,181.0,-3.0,30.0
5811,0,181.0,-3.0,30.0
5918,0,181.0,-3.0,30.0
6025,0,181.0,-3.0,30.0
6154,0,181.0,-3.0,30.0
6245,0,181.0,-3.0,30.0
6357,0,181.0,-3.0,30.0
6466,0,181.0,-3.0,30.0
6578,0,181.0,-3.0,30.0
6683,0,181.0,-3.0,30.0
6792,0,181.0,-3.0,30.0
6900,0,206.7,-9.19,30.0
7020,0,206.7,-9.19,30.0
7123,0,206.7,-9.19,30.0
7241,0,206.7,-9.19,30.0
7341,0,206.7,-9.19,30.0
7448,0,206.7,-9.19,30.0
7556,0,206.7,-9.19,30.0
7668,0,206.7,-9.19,30.0
7788,0,206.7,-9.19,30.0
7884,0,206.7,-9.19,30.0
7997,0,206.7,-9.19,30.0
8103,0,206.7,-9.19,30.0
8217,0,206.7,-9.19,30.0
8323,0,206.7,-9.19,30.0
8439,0,206.7,-9.19,30.0
8541,0,206.7,-9.19,30.0
8650,0,206.7,-9.19,30.0
8759,0,206.7,-9.19,30.0
8871,0,206.7,-9.19,30.0
8988,0,206.7,-9.19,30.0
9106,0,206.7,-9.19,30.0
9200,0,206.7,-9.19,30.0
9310,0,206.7,-9.19,30.0
9421,0,206.7,-9.19,30.0
9530,0,206.7,-9.19,30.0
9653,0,206.7,-9.19,30.0
9757,0,206.7,-9.19,30.0
9867,0,206.7,-9.19,30.0
9978,0,206.7,-9.19,30.0
10083,0,206.7,-9.19,30.0
10210,0,206.7,-9.19,30.0
10295,0,206.7,-9.19,30.0
10401,0,206.7,-9.19,30.0
10515,0,206.7,-9.19,30.0
10640,0,206.7,-9.19,30.0
10745,0,206.7,-9.19,30.0
10855,0,206.7,-9.19,30.0
10968,0,206.7,-9.19,30.0
11062,0,206.7,-9.19,30.0
11183,0,206.7,-9.19,30.0
11273,0,206.7,-9.19,30.0
11385,0,206.7,-9.19,30.0
11496,0,206.7,-9.19,30.0
11606,0,206.7,-9.19,30.0
11741,0,206.7,-9.19,30.0
11827,0,206.7,-9.19,30.0
11934,0,206.7,-9.19,30.0
12039,0,206.7,-9.19,30.0
12148,0,206.7,-9.19,30.0
12265,0,206.7,-9.19,30.0
12369,0,206.7,-9.19,30.0
12480,0,206.7,-9.19,30.0
12590,0,206.7,-9.19,30.0
12696,0,206.7,-9.19,30.0
12805,0,206.7,-9.19,30.0
12918,0,206.7,-9.19,30.0
13026,0,206.7,-9.19,20.0
13135,0,206.7,-9.19,20.0
13141,0,206.7,-9.19,20.0
13145,0,206.7,-9.19,20.0
13246,0,206.7,-9.19,20.0
13252,0,206.7,-9.19,20.0
13259,0,206.7,-9.19,20.0
13357,0,206.7,-9.19,20.0
13473,0,206.7,-9.19,20.0
13596,0,206.7,-9.19,20.0
13682,0,206.7,-9.19,20.0
13791,0,206.7,-9.19,20.0
13902,0,206.7,-9.19,20.0
14024,0,206.7,-9.19,20.0
14140,0,206.7,-9.19,20.0
14232,0,206.7,-9.19,20.0
14342,0,206.7,-9.19,20.0
14450,0,206.7,-9.19,20.0
14559,0,206.7,-9.19,20.0
14669,0,206.7,-9.19,20.0
14776,0,206.7,-9.19,20.0
14887,0,206.7,-9.19,20.0
14996,0,206.7,-9.19,20.0
15106,0,206.7,-9.19,20.0
15214,0,206.7,-9.19,20.0
15324,0,206.7,-9.19,20.0
15432,0,206.7,-9.19,20.0
15542,0,206.7,-9.19,20.0
15652,0,206.7,-9.19,30.0
15761,0,206.7,-9.19,30.0
15769,0,206.7,-9.19,30.0
15776,0,206.7,-9.19,30.0
15869,0,206.7,-9.19,30.0
15877,0,206.7,-9.19,30.0
15883,0,206.7,-9.19,30.0
15981,0,206.7,-9.19,30.0
16117,0,206.7,-9.19,30.0
16123,0,206.7,-9.19,30.0
16128,0,206.7,-9.19,30.0
16201,0,206.7,-9.19,30.0
16311,0,206.7,-9.19,30.0
16417,0,206.7,-9.19,30.0
16529,0,206.7,-9.19,30.0
16636,0,206.7,-9.19,30.0
16746,0,206.7,-9.19,30.0
16856,0,206.7,-9.19,30.0
16966,0,206.7,-9.19,30.0
17074,0,206.7,-9.19,30.0
17204,0,206.7,-9.19,30.0
17291,0,206.7,-9.19,30.0
17401,0,206.7,-9.19,30.0
17511,0,206.7,-9.19,30.0
17621,0,206.7,-9.19,30.0
17729,0,206.7,-9.19,30.0
17839,0,206.7,-9.19,30.0
17948,0,206.7,-9.19,30.0
18060,0,206.7,-9.19,30.0
18164,0,206.7,-9.19,30.0
18276,0,206.7,-9.19,30.0
18402,0,206.7,-9.19,30.0
18496,0,206.7,-9.19,30.0
18603,0,206.7,-9.19,30.0
18720,0,206.7,-9.19,30.0
18840,0,206.7,-9.19,30.0
18930,0,206.7,-9.19,30.0
19042,0,206.7,-9.19,30.0
19149,0,206.7,-9.19,30.0
19274,0,206.7,-9.19,30.0
19388,0,206.7,-9.19,30.0
19481,0,206.7,-9.19,30.0
19590,0,206.7,-9.19,30.0
19704,0,206.7,-9.19,30.0
19816,0,206.7,-9.19,30.0
19935,0,206.7,-9.19,30.0
20033,0,206.7,-9.19,30.0
20147,0,206.7,-9.19,30.0
20257,0,206.7,-9.19,30.0
20355,0,206.7,-9.19,30.0
20463,0,206.7,-9.19,30.0
20588,0,206.7,-9.19,30.0
20686,0,206.7,-9.19,30.0
20798,0,206.7,-9.19,30.0
20911,0,206.7,-9.19,30.0
21009,0,206.7,-9.19,30.0
21119,0,206.7,-9.19,30.0
21229,0,206.7,-9.19,30.0
21339,0,206.7,-9.19,30.0
21452,0,206.7,-9.19,30.0
21561,0,206.7,-9.19,30.0
21693,0,206.7,-9.19,30.0
21790,0,206.7,-9.19,30.0
21885,0,206.7,-9.19,30.0
21997,0,206.7,-9.19,30.0
22105,0,206.7,-9.19,30.0
22215,0,206.7,-9.19,30.0
22333,0,206.7,-9.19,30.0
22454,0,206.7,-9.19,30.0
22542,0,206.7,-9.19,30.0
22652,0,206.7,-9.19,30.0
32823,0,219.91,14.27,35.0
32830,0,219.91,14.27,35.0
32835,0,219.91,14.27,35.0
32934,0,219.91,14.27,35.0
32943,0,219.91,14.27,35.0
32948,0,219.91,14.27,35.0
33040,0,219.91,14.27,35.0
33151,0,219.91,14.27,35.0
33261,0,219.91,14.27,35.0
33389,0,219.91,14.27,35.0
33481,0,219.91,14.27,35.0
33592,0,219.91,14.27,35.0
33701,0,219.91,14.27,35.0
33831,0,219.91,14.27,35.0
33920,0,219.91,14.27,35.0
34025,0,219.91,14.27,35.0
34135,0,219.91,14.27,35.0
34249,0,219.91,14.27,35.0
34357,0,219.91,14.27,35.0
34466,0,219.91,14.27,35.0
34576,0,219.91,14.27,35.0
34689,0,219.91,14.27,35.0
34809,0,219.91,14.27,35.0
34901,0,219.91,14.27,35.0
35010,0,219.91,14.27,35.0
35122,0,219.91,14.27,35.0
35231,0,219.91,14.27,35.0
35353,0,219.91,14.27,35.0
35446,0,219.91,14.27,35.0
35556,0,219.91,14.27,35.0
35664,0,206.7,-9.19,30.0
35777,0,206.7,-9.19,30.0
35785,0,206.7,-9.19,30.0
35792,0,206.7,-9.19,30.0
35887,0,206.7,-9.19,30.0
35894,0,206.7,-9.19,30.0
35904,0,206.7,-9.19,30.0
35996,0,206.7,-9.19,30.0
36106,0,206.7,-9.19,30.0
36112,0,206.7,-9.19,30.0
36118,0,206.7,-9.19,30.0
36216,0,206.7,-9.19,30.0
36326,0,206.7,-9.19,30.0
36436,0,206.7,-9.19,30.0
36540,0,206.7,-9.19,30.0
36652,0,206.7,-9.19,30.0
36762,0,206.7,-9.19,30.0
36875,0,206.7,-9.19,30.0
36980,0,206.7,-9.19,30.0
37108,0,206.7,-9.19,30.0
37197,0,206.7,-9.19,30.0
37308,0,206.7,-9.19,30.0
37420,0,206.7,-9.19,30.0
37526,0,206.7,-9.19,30.0
37636,0,206.7,-9.19,30.0
37746,0,206.7,-9.19,30.0
37854,0,206.7,-9.19,30.0
37963,0,206.7,-9.19,30.0
38074,0,206.7,-9.19,30.0
38185,0,206.7,-9.19,30.0
38291,0,206.7,-9.19,30.0
38401,0,206.7,-9.19,30.0
38510,0,206.7,-9.19,30.0
38622,0,206.7,-9.19,30.0
38732,0,206.7,-9.19,30.0
38839,0,206.7,-9.19,30.0
38948,0,206.7,-9.19,30.0
39062,0,206.7,-9.19,30.0
39171,0,206.7,-9.19,30.0
39284,0,206.7,-9.19,30.0
39391,0,206.7,-9.19,30.0
39498,0,206.7,-9.19,30.0
39611,0,206.7,-9.19,30.0
39724,0,206.7,-9.19,30.0
39842,0,206.7,-9.19,30.0
39942,0,206.7,-9.19,30.0
40048,0,206.7,-9.19,30.0
40163,0,206.7,-9.19,30.0
40262,0,206.7,-9.19,30.0
40388,0,206.7,-9.19,30.0
40480,0,206.7,-9.19,30.0
40591,0,206.7,-9.19,30.0
40704,0,206.7,-9.19,30.0
40823,0,206.7,-9.19,30.0
40920,0,206.7,-9.19,30.0
41028,0,206.7,-9.19,30.0
41135,0,206.7,-9.19,30.0
41246,0,206.7,-9.19,30.0
41354,0,206.7,-9.19,30.0
41485,0,206.7,-9.19,30.0
41577,0,206.7,-9.19,30.0
41686,0,206.7,-9.19,30.0
41796,0,206.7,-9.19,30.0
41908,0,206.7,-9.19,30.0
42011,0,206.7,-9.19,30.0
42119,0,206.7,-9.19,30.0
42231,0,206.7,-9.19,30.0
42341,0,206.7,-9.19,30.0
42452,0,206.7,-9.19,30.0
42554,0,206.7,-9.19,30.0
42666,0,206.7,-9.19,30.0
42776,0,206.7,-9.19,30.0
42884,0,206.7,-9.19,30.0
42993,0,206.7,-9.19,30.0
43105,0,206.7,-9.19,30.0
43213,0,206.7,-9.19,30.0
43326,0,206.7,-9.19,30.0
43436,0,206.7,-9.19,30.0
43540,0,206.7,-9.19,30.0
43664,0,206.7,-9.19,30.0
43760,0,206.7,-9.19,30.0
43869,0,206.7,-9.19,30.0
43979,0,206.7,-9.19,30.0
44088,0,206.7,-9.19,30.0
44201,0,206.7,-9.19,30.0
44319,0,206.7,-9.19,30.0
44415,0,206.7,-9.19,30.0
44527,0,206.7,-9.19,30.0
44633,0,206.7,-9.19,30.0
44745,0,206.7,-9.19,30.0
44871,0,206.7,-9.19,30.0
44968,0,206.7,-9.19,30.0
45073,0,206.7,-9.19,30.0
45181,0,206.7,-9.19,30.0
45291,0,206.7,-9.19,30.0
45410,0,206.7,-9.19,30.0
45508,0,206.7,-9.19,30.0
45619,0,206.7,-9.19,30.0
45727,0,206.7,-9.19,30.0
45835,0,220.42,9.27,20.0
45950,0,220.42,9.27,20.0
45959,0,220.42,9.27,20.0
45965,0,220.42,9.27,20.0
46072,0,220.42,9.27,20.0
46079,0,220.42,9.27,20.0
46086,0,220.42,9.27,20.0
46167,0,220.42,9.27,20.0
46275,0,220.42,9.27,20.0
46385,0,220.42,9.27,20.0
46493,0,220.42,9.27,20.0
46614,0,220.42,9.27,20.0
46716,0,220.42,9.27,20.0
46826,0,220.42,9.27,20.0
46933,0,220.42,9.27,20.0
47040,0,220.42,9.27,20.0
47150,0,220.42,9.27,20.0
47274,0,220.42,9.27,20.0
47370,0,220.42,9.27,20.0
47479,0,220.42,9.27,20.0
47592,0,220.42,9.27,20.0
47697,0,220.42,9.27,20.0
47806,0,220.42,9.27,20.0
47923,0,220.42,9.27,20.0
48025,0,220.42,9.27,20.0
48134,0,220.42,9.27,20.0
48244,0,220.42,9.27,20.0
48357,0,220.42,9.27,20.0
48466,0,220.42,9.27,20.0
48581,0,220.42,9.27,30.0
48686,0,220.42,9.27,30.0
48695,0,220.42,9.27,30.0
48704,0,220.42,9.27,30.0
48791,0,220.42,9.27,30.0
48801,0,220.42,9.27,30.0
48810,0,220.42,9.27,30.0
48899,0,220.42,9.27,30.0
49020,0,220.42,9.27,30.0
49028,0,220.42,9.27,30.0
49037,0,220.42,9.27,30.0
49130,0,220.42,9.27,30.0
49229,0,220.42,9.27,30.0
49343,0,220.42,9.27,30.0
49462,0,220.42,9.27,30.0
49563,0,220.42,9.27,30.0
49689,0,220.42,9.27,30.0
49787,0,220.42,9.27,30.0
49900,0,220.42,9.27,30.0
50006,0,220.42,9.27,30.0
50111,0,220.42,9.27,30.0
50212,0,220.42,9.27,30.0
50323,0,220.42,9.27,30.0
50434,0,220.42,9.27,30.0
50541,0,220.42,9.27,30.0
50651,0,220.42,9.27,30.0
50783,0,220.42,9.27,30.0
50884,0,220.42,9.27,30.0
50981,0,220.42,9.27,30.0
51088,0,220.42,9.27,30.0
51197,0,220.42,9.27,30.0
