Time (ms),Conductance,X,Y,Z
22,0,180.4,-3.0,5.0
25,0,180.4,-3.0,5.0
29,0,180.4,-3.0,5.0
129,0,180.4,-3.0,5.0
133,0,180.4,-3.0,5.0
136,0,180.4,-3.0,5.0
238,0,180.4,-3.0,5.0
357,0,180.4,-3.0,5.0
461,0,180.4,-3.0,5.0
566,0,180.4,-3.0,5.0
676,0,180.4,-3.0,5.0
786,0,180.4,-3.0,5.0
899,0,180.4,-3.0,5.0
1006,0,180.4,-3.0,5.0
1116,0,180.4,-3.0,5.0
1226,0,180.4,-3.0,5.0
1331,0,180.4,-3.0,5.0
1441,0,180.4,-3.0,5.0
1577,0,180.4,-3.0,5.0
1662,0,180.4,-3.0,5.0
1771,0,180.4,-3.0,5.0
1879,0,180.4,-3.0,5.0
1990,0,180.4,-3.0,5.0
