Time (ms),Conductance,X,Y,Z
102,0,180.4,-3.0,5.0
107,0,180.4,-3.0,5.0
111,0,180.4,-3.0,5.0
224,0,180.4,-3.0,5.0
229,0,180.4,-3.0,5.0
233,0,180.4,-3.0,5.0
325,0,180.4,-3.0,5.0
437,0,180.4,-3.0,5.0
549,0,180.4,-3.0,5.0
661,0,180.4,-3.0,5.0
771,0,180.4,-3.0,5.0
870,0,180.4,-3.0,5.0
977,0,180.4,-3.0,5.0
1084,0,180.4,-3.0,5.0
1197,0,180.4,-3.0,5.0
1311,0,180.4,-3.0,5.0
1417,0,180.4,-3.0,5.0
1521,0,180.4,-3.0,5.0
1631,0,180.4,-3.0,5.0
1742,0,180.4,-3.0,5.0
1851,0,180.4,-3.0,5.0
1963,0,180.4,-3.0,5.0
2072,0,180.4,-3.0,5.0
2181,0,180.4,-3.0,5.0
2288,0,180.4,-3.0,5.0
2401,0,180.4,-3.0,5.0
4584,0,180.4,-3.0,5.0
4589,0,180.4,-3.0,5.0
4595,0,180.4,-3.0,5.0
4694,0,180.4,-3.0,5.0
4806,0,180.4,-3.0,5.0
4912,0,180.4,-3.0,5.0
5027,0,180.4,-3.0,5.0
5131,0,180.4,-3.0,5.0
5240,0,180.4,-3.0,5.0
5352,0,180.4,-3.0,5.0
5461,0,180.4,-3.0,5.0
5571,0,180.4,-3.0,5.0
