Time (ms),Conductance,X,Y,Z
47,0,180.4,-3.0,5.0
51,0,180.4,-3.0,5.0
54,0,180.4,-3.0,5.0
162,0,180.4,-3.0,5.0
166,0,180.4,-3.0,5.0
170,0,180.4,-3.0,5.0
265,0,180.4,-3.0,5.0
375,0,180.4,-3.0,5.0
488,0,180.4,-3.0,5.0
583,0,180.4,-3.0,5.0
705,0,180.4,-3.0,5.0
817,0,180.4,-3.0,5.0
926,0,180.4,-3.0,5.0
1040,0,180.4,-3.0,5.0
1129,0,180.4,-3.0,5.0
1260,0,180.4,-3.0,5.0
1349,0,180.4,-3.0,5.0
1460,0,180.4,-3.0,5.0
1568,0,180.4,-3.0,5.0
1679,0,180.4,-3.0,5.0
1812,0,180.4,-3.0,5.0
1899,0,180.4,-3.0,5.0
2005,0,180.4,-3.0,5.0
2114,0,180.4,-3.0,5.0
2225,0,180.4,-3.0,5.0
2338,0,180.4,-3.0,5.0
2445,0,180.4,-3.0,5.0
2554,0,180.4,-3.0,5.0
2664,0,180.4,-3.0,5.0
2776,0,180.4,-3.0,5.0
