Time (ms),Conductance,X,Y,Z
5,0,180.4,-3.0,5.0
9,0,180.4,-3.0,5.0
12,0,180.4,-3.0,5.0
107,0,180.4,-3.0,5.0
111,0,180.4,-3.0,5.0
115,0,180.4,-3.0,5.0
217,0,180.4,-3.0,5.0
329,0,180.4,-3.0,5.0
437,0,180.4,-3.0,5.0
544,0,180.4,-3.0,5.0
654,0,180.4,-3.0,5.0
763,0,180.4,-3.0,5.0
873,0,180.4,-3.0,5.0
986,0,180.4,-3.0,5.0
1110,0,180.4,-3.0,5.0
1200,0,180.4,-3.0,5.0
1311,0,180.4,-3.0,5.0
1419,0,180.4,-3.0,5.0
1528,0,180.4,-3.0,5.0
1638,0,180.4,-3.0,5.0
1763,0,180.4,-3.0,5.0
1860,0,180.4,-3.0,5.0
1969,0,180.4,-3.0,5.0
2079,0,180.4,-3.0,5.0
2188,0,180.4,-3.0,5.0
2316,0,180.4,-3.0,5.0
2404,0,180.4,-3.0,5.0
2513,0,180.4,-3.0,5.0
2623,0,180.4,-3.0,5.0
2734,0,180.4,-3.0,5.0
2854,0,180.4,-3.0,5.0
2954,0,180.4,-3.0,5.0
3064,0,180.4,-3.0,5.0
3169,0,180.4,-3.0,5.0
3279,0,180.4,-3.0,5.0
3389,0,180.4,-3.0,5.0
3516,0,180.4,-3.0,5.0
3609,0,180.4,-3.0,5.0
3719,0,180.4,-3.0,5.0
3829,0,180.4,-3.0,5.0
3939,0,180.4,-3.0,5.0
4044,0,180.4,-3.0,5.0
4154,0,180.4,-3.0,5.0
4269,0,180.4,-3.0,5.0
4377,0,180.4,-3.0,5.0
4500,0,180.4,-3.0,5.0
4594,0,180.4,-3.0,5.0
4704,0,180.4,-3.0,5.0
4814,0,180.4,-3.0,5.0
4921,0,180.4,-3.0,5.0
5037,0,180.4,-3.0,5.0
5147,0,180.4,-3.0,5.0
5269,0,180.4,-3.0,5.0
5374,0,180.4,-3.0,5.0
5469,0,180.4,-3.0,5.0
5584,0,180.4,-3.0,5.0
5688,0,180.4,-3.0,50.0
5803,0,180.4,-3.0,50.0
5809,0,180.4,-3.0,50.0
5814,0,180.4,-3.0,50.0
5911,0,180.4,-3.0,50.0
6024,0,180.4,-3.0,50.0
6029,0,180.4,-3.0,50.0
6033,0,180.4,-3.0,50.0
6143,0,180.4,-3.0,50.0
6248,0,181.17,-4.48,50.0
