Time (ms),Conductance,X,Y,Z
81,0,180.4,-3.0,5.0
86,0,180.4,-3.0,5.0
90,0,180.4,-3.0,5.0
181,0,180.4,-3.0,5.0
185,0,180.4,-3.0,5.0
189,0,180.4,-3.0,5.0
292,0,180.4,-3.0,5.0
417,0,180.4,-3.0,5.0
537,0,180.4,-3.0,5.0
637,0,180.4,-3.0,5.0
728,0,180.4,-3.0,5.0
837,0,180.4,-3.0,5.0
957,0,180.4,-3.0,5.0
1120,0,180.4,-3.0,5.0
1174,0,180.4,-3.0,5.0
1294,0,180.4,-3.0,5.0
1401,0,180.4,-3.0,5.0
1499,0,180.4,-3.0,5.0
1602,0,180.4,-3.0,5.0
1712,0,180.4,-3.0,5.0
1821,0,180.4,-3.0,5.0
1933,0,180.4,-3.0,5.0
2047,0,180.4,-3.0,5.0
2151,0,180.4,-3.0,5.0
2278,0,180.4,-3.0,5.0
