Time (ms),Conductance,X,Y,Z
29,0,186.0,-2.0,5.0
34,0,186.0,-2.0,5.0
39,0,186.0,-2.0,5.0
151,0,186.0,-2.0,5.0
156,0,186.0,-2.0,5.0
160,0,186.0,-2.0,5.0
238,0,186.0,-2.0,5.0
346,0,186.0,-2.0,5.0
458,0,186.0,-2.0,5.0
566,0,186.0,-2.0,5.0
688,0,186.0,-2.0,5.0
787,0,186.0,-2.0,5.0
897,0,186.0,-2.0,5.0
1003,0,186.0,-2.0,5.0
1124,0,186.0,-2.0,5.0
1235,0,186.0,-2.0,5.0
1333,0,186.0,-2.0,5.0
1443,0,186.0,-2.0,5.0
1552,0,186.0,-2.0,5.0
1662,0,186.0,-2.0,5.0
1768,0,186.0,-2.0,5.0
1892,0,186.0,-2.0,5.0
1988,0,186.0,-2.0,5.0
2098,0,186.0,-2.0,5.0
2207,0,186.0,-2.0,5.0
2320,0,186.0,-2.0,5.0
2451,0,186.0,-2.0,5.0
2536,0,186.0,-2.0,5.0
2646,0,186.0,-2.0,5.0
2753,0,186.0,-2.0,5.0
2876,0,186.0,-2.0,5.0
2973,0,186.0,-2.0,5.0
3085,0,186.0,-2.0,5.0
3198,0,186.0,-2.0,5.0
3312,0,186.0,-2.0,5.0
3424,0,186.0,-2.0,5.0
3519,0,186.0,-2.0,5.0
3644,0,186.0,-2.0,5.0
3761,0,186.0,-2.0,5.0
3854,0,186.0,-2.0,5.0
3969,0,186.0,-2.0,5.0
4071,0,186.0,-2.0,5.0
4189,0,186.0,-2.0,5.0
4303,0,186.0,-2.0,5.0
4394,0,186.0,-2.0,5.0
4503,0,186.0,-2.0,5.0
4620,0,186.0,-2.0,5.0
4723,0,186.0,-2.0,5.0
4833,0,186.0,-2.0,5.0
4943,0,186.0,-2.0,5.0
5056,0,186.0,-2.0,5.0
5179,0,186.0,-2.0,5.0
5268,0,186.0,-2.0,5.0
5378,0,186.0,-2.0,5.0
5488,0,186.0,-2.0,5.0
5610,0,186.0,-2.0,5.0
5708,0,186.0,-2.0,5.0
5818,0,186.0,-2.0,5.0
5928,0,186.0,-2.0,5.0
6038,0,186.0,-2.0,5.0
6163,0,186.0,-2.0,5.0
6253,0,186.0,-2.0,5.0
6364,0,186.0,-2.0,5.0
6476,0,186.0,-2.0,5.0
6595,0,186.0,-2.0,5.0
6693,0,186.0,-2.0,5.0
6804,0,186.0,-2.0,5.0
6913,0,186.0,-2.0,5.0
