Time (ms),Conductance,X,Y,Z
62,0,180.4,-3.0,5.0
67,0,180.4,-3.0,5.0
70,0,180.4,-3.0,5.0
169,0,180.4,-3.0,5.0
175,0,180.4,-3.0,5.0
179,0,180.4,-3.0,5.0
280,0,180.4,-3.0,5.0
390,0,180.4,-3.0,5.0
498,0,180.4,-3.0,5.0
623,0,180.4,-3.0,5.0
717,0,180.4,-3.0,5.0
826,0,180.4,-3.0,5.0
940,0,180.4,-3.0,5.0
1048,0,180.4,-3.0,5.0
1156,0,180.4,-3.0,5.0
1263,0,180.4,-3.0,5.0
1373,0,180.4,-3.0,5.0
1482,0,180.4,-3.0,5.0
1592,0,180.4,-3.0,5.0
1702,0,180.4,-3.0,5.0
1810,0,180.4,-3.0,5.0
1925,0,180.4,-3.0,5.0
2036,0,180.4,-3.0,5.0
2153,0,180.4,-3.0,5.0
2248,0,180.4,-3.0,5.0
2362,0,180.4,-3.0,5.0
2483,0,180.4,-3.0,5.0
2587,0,180.4,-3.0,5.0
2693,0,180.4,-3.0,5.0
2811,0,180.4,-3.0,5.0
2910,0,180.4,-3.0,5.0
3029,0,180.4,-3.0,5.0
3123,0,180.4,-3.0,5.0
3232,0,180.4,-3.0,5.0
3341,0,180.4,-3.0,5.0
3472,0,180.4,-3.0,5.0
3563,0,180.4,-3.0,5.0
3673,0,180.4,-3.0,5.0
3782,0,180.4,-3.0,5.0
3892,0,180.4,-3.0,5.0
3998,0,180.4,-3.0,5.0
4126,0,180.4,-3.0,5.0
4217,0,180.4,-3.0,5.0
4327,0,180.4,-3.0,5.0
4438,0,180.4,-3.0,5.0
4547,0,180.4,-3.0,5.0
4657,0,180.4,-3.0,5.0
4779,0,180.4,-3.0,5.0
