Time (ms),Conductance,X,Y,Z
71,0,180.4,-3.0,5.0
76,0,180.4,-3.0,5.0
79,0,180.4,-3.0,5.0
161,0,180.4,-3.0,5.0
166,0,180.4,-3.0,5.0
171,0,180.4,-3.0,5.0
269,0,180.4,-3.0,5.0
381,0,180.4,-3.0,5.0
496,0,180.4,-3.0,5.0
619,0,180.4,-3.0,5.0
713,0,180.4,-3.0,5.0
821,0,180.4,-3.0,5.0
927,0,180.4,-3.0,5.0
1047,0,180.4,-3.0,5.0
1151,0,180.4,-3.0,5.0
1282,0,180.4,-3.0,5.0
1365,0,180.4,-3.0,5.0
1480,0,180.4,-3.0,5.0
1593,0,180.4,-3.0,5.0
1700,0,180.4,-3.0,5.0
2700,0,180.4,-3.0,5.0
2705,0,180.4,-3.0,5.0
2711,0,180.4,-3.0,5.0
2799,0,180.4,-3.0,5.0
2919,0,180.4,-3.0,5.0
3029,0,180.4,-3.0,5.0
3136,0,180.4,-3.0,5.0
3264,0,180.4,-3.0,5.0
3353,0,180.4,-3.0,5.0
3472,0,180.4,-3.0,5.0
