Time (ms),Conductance,X,Y,Z
9,0,180.4,-3.0,5.0
13,0,180.4,-3.0,5.0
17,0,180.4,-3.0,5.0
110,0,180.4,-3.0,5.0
114,0,180.4,-3.0,5.0
119,0,180.4,-3.0,5.0
220,0,180.4,-3.0,5.0
330,0,180.4,-3.0,5.0
440,0,180.4,-3.0,5.0
569,0,180.4,-3.0,5.0
661,0,180.4,-3.0,5.0
770,0,180.4,-3.0,5.0
876,0,180.4,-3.0,5.0
985,0,180.4,-3.0,5.0
1097,0,180.4,-3.0,5.0
1205,0,180.4,-3.0,5.0
1315,0,180.4,-3.0,5.0
1425,0,180.4,-3.0,5.0
1536,0,180.4,-3.0,5.0
1646,0,180.4,-3.0,5.0
1755,0,180.4,-3.0,5.0
1872,0,180.4,-3.0,5.0
1971,0,180.4,-3.0,5.0
2081,0,180.4,-3.0,5.0
2190,0,180.4,-3.0,5.0
2300,0,180.4,-3.0,5.0
2410,0,180.4,-3.0,5.0
2535,0,180.4,-3.0,5.0
2626,0,180.4,-3.0,5.0
2736,0,180.4,-3.0,5.0
2845,0,180.4,-3.0,5.0
2954,0,180.4,-3.0,5.0
