Time (ms),Conductance,X,Y,Z
79,0,180.4,-3.0,5.0
84,0,180.4,-3.0,5.0
87,0,180.4,-3.0,5.0
211,0,180.4,-3.0,5.0
216,0,180.4,-3.0,5.0
219,0,180.4,-3.0,5.0
305,0,180.4,-3.0,5.0
407,0,180.4,-3.0,5.0
519,0,180.4,-3.0,5.0
631,0,180.4,-3.0,5.0
732,0,180.4,-3.0,5.0
855,0,180.4,-3.0,5.0
963,0,180.4,-3.0,5.0
1082,0,180.4,-3.0,5.0
1185,0,180.4,-3.0,5.0
1290,0,180.4,-3.0,5.0
1387,0,180.4,-3.0,5.0
1496,0,180.4,-3.0,5.0
1613,0,180.4,-3.0,5.0
1725,0,180.4,-3.0,5.0
1854,0,180.4,-3.0,5.0
1936,0,180.4,-3.0,5.0
2047,0,180.4,-3.0,5.0
2156,0,180.4,-3.0,5.0
2263,0,180.4,-3.0,5.0
2372,0,180.4,-3.0,5.0
2482,0,180.4,-3.0,5.0
2608,0,180.4,-3.0,5.0
2702,0,180.4,-3.0,5.0
2812,0,180.4,-3.0,5.0
2922,0,180.4,-3.0,5.0
3032,0,180.4,-3.0,5.0
3142,0,180.4,-3.0,5.0
3247,0,180.4,-3.0,5.0
3356,0,180.4,-3.0,5.0
