Time (ms),Conductance,X,Y,Z
79,0,180.4,-3.0,5.0
84,0,180.4,-3.0,5.0
90,0,180.4,-3.0,5.0
189,0,180.4,-3.0,5.0
195,0,180.4,-3.0,5.0
199,0,180.4,-3.0,5.0
294,0,180.4,-3.0,5.0
403,0,180.4,-3.0,5.0
513,0,180.4,-3.0,5.0
634,0,180.4,-3.0,5.0
731,0,180.4,-3.0,5.0
841,0,180.4,-3.0,5.0
952,0,180.4,-3.0,5.0
1061,0,180.4,-3.0,5.0
1169,0,180.4,-3.0,5.0
1278,0,180.4,-3.0,5.0
1398,0,180.4,-3.0,5.0
1497,0,180.4,-3.0,5.0
1610,0,180.4,-3.0,5.0
1716,0,180.4,-3.0,5.0
1825,0,180.4,-3.0,5.0
1937,0,180.4,-3.0,5.0
2049,0,180.4,-3.0,5.0
2153,0,180.4,-3.0,5.0
2263,0,180.4,-3.0,5.0
2373,0,180.4,-3.0,5.0
2484,0,180.4,-3.0,5.0
2603,0,180.4,-3.0,5.0
2703,0,180.4,-3.0,5.0
2813,0,180.4,-3.0,5.0
2923,0,180.4,-3.0,5.0
3028,0,180.4,-3.0,5.0
3138,0,180.4,-3.0,5.0
3263,0,180.4,-3.0,5.0
3359,0,180.4,-3.0,5.0
3468,0,180.4,-3.0,5.0
3578,0,180.4,-3.0,5.0
3687,0,180.4,-3.0,5.0
3800,0,180.4,-3.0,5.0
3904,0,180.4,-3.0,5.0
