Time (ms),Conductance,X,Y,Z
104,0,180.4,-3.0,5.0
108,0,180.4,-3.0,5.0
111,0,180.4,-3.0,5.0
212,0,180.4,-3.0,5.0
218,0,180.4,-3.0,5.0
223,0,180.4,-3.0,5.0
319,0,180.4,-3.0,5.0
429,0,180.4,-3.0,5.0
538,0,180.4,-3.0,5.0
648,0,180.4,-3.0,5.0
759,0,180.4,-3.0,5.0
889,0,180.4,-3.0,5.0
975,0,180.4,-3.0,5.0
1084,0,180.4,-3.0,5.0
1195,0,180.4,-3.0,5.0
1303,0,180.4,-3.0,5.0
1412,0,180.4,-3.0,5.0
1532,0,180.4,-3.0,5.0
1634,0,180.4,-3.0,5.0
1740,0,180.4,-3.0,5.0
1853,0,180.4,-3.0,5.0
1959,0,180.4,-3.0,5.0
2068,0,180.4,-3.0,5.0
2178,0,180.4,-3.0,5.0
2297,0,180.4,-3.0,5.0
2399,0,180.4,-3.0,5.0
2508,0,180.4,-3.0,5.0
2615,0,180.4,-3.0,5.0
2729,0,180.4,-3.0,5.0
2838,0,180.4,-3.0,5.0
2954,0,180.4,-3.0,5.0
3054,0,180.4,-3.0,5.0
3164,0,180.4,-3.0,5.0
3274,0,180.4,-3.0,5.0
3384,0,180.4,-3.0,5.0
3494,0,180.4,-3.0,5.0
3614,0,180.4,-3.0,5.0
3709,0,180.4,-3.0,5.0
3824,0,180.4,-3.0,5.0
3929,0,180.4,-3.0,5.0
4044,0,180.4,-3.0,5.0
4147,0,180.4,-3.0,5.0
4272,0,180.4,-3.0,5.0
4366,0,180.4,-3.0,5.0
4479,0,180.4,-3.0,5.0
4584,0,180.4,-3.0,5.0
4697,0,180.4,-3.0,5.0
4813,0,180.4,-3.0,5.0
4926,0,180.4,-3.0,5.0
5049,0,180.4,-3.0,5.0
5149,0,180.4,-3.0,5.0
5249,0,180.4,-3.0,5.0
5361,0,180.4,-3.0,5.0
5475,0,180.4,-3.0,5.0
