Time (ms),Conductance,X,Y,Z
92,0,186.0,-2.0,5.0
95,0,186.0,-2.0,5.0
100,0,186.0,-2.0,5.0
212,0,186.0,-2.0,5.0
217,0,186.0,-2.0,5.0
220,0,186.0,-2.0,5.0
309,0,186.0,-2.0,5.0
418,0,186.0,-2.0,5.0
527,0,186.0,-2.0,5.0
637,0,186.0,-2.0,5.0
746,0,186.0,-2.0,5.0
878,0,186.0,-2.0,5.0
967,0,186.0,-2.0,5.0
1074,0,186.0,-2.0,5.0
1187,0,186.0,-2.0,5.0
1296,0,186.0,-2.0,5.0
1402,0,186.0,-2.0,5.0
1524,0,186.0,-2.0,5.0
1621,0,186.0,-2.0,5.0
1732,0,186.0,-2.0,5.0
1842,0,186.0,-2.0,5.0
1952,0,186.0,-2.0,5.0
2073,0,186.0,-2.0,5.0
2171,0,186.0,-2.0,5.0
2277,0,186.0,-2.0,5.0
2387,0,186.0,-2.0,5.0
2497,0,186.0,-2.0,5.0
2608,0,186.0,-2.0,5.0
2719,0,186.0,-2.0,5.0
2827,0,186.0,-2.0,5.0
2935,0,186.0,-2.0,5.0
3047,0,186.0,-2.0,5.0
3152,0,186.0,-2.0,5.0
3265,0,186.0,-2.0,5.0
3371,0,186.0,-2.0,5.0
3482,0,186.0,-2.0,5.0
3592,0,186.0,-2.0,5.0
3702,0,186.0,-2.0,5.0
3818,0,186.0,-2.0,5.0
3922,0,186.0,-2.0,5.0
4027,0,186.0,-2.0,5.0
4137,0,186.0,-2.0,5.0
4247,0,186.0,-2.0,5.0
4357,0,186.0,-2.0,5.0
4470,0,186.0,-2.0,5.0
4577,0,186.0,-2.0,5.0
4687,0,186.0,-2.0,5.0
4797,0,186.0,-2.0,5.0
4907,0,186.0,-2.0,5.0
5011,0,186.0,-2.0,5.0
5130,0,186.0,-2.0,5.0
5232,0,186.0,-2.0,5.0
5342,0,186.0,-2.0,5.0
5452,0,186.0,-2.0,5.0
5566,0,186.0,-2.0,5.0
5672,0,186.0,-2.0,5.0
5782,0,186.0,-2.0,5.0
5893,0,186.0,-2.0,5.0
