Time (ms),Conductance,X,Y,Z
16,0,180.4,-3.0,0.0
88,0,180.4,-3.0,0.0
143,0,180.4,-3.0,0.0
217,0,180.4,-3.0,0.0
263,0,180.4,-3.0,0.0
325,0,180.4,-3.0,0.0
391,0,180.4,-3.0,0.0
451,0,180.4,-3.0,0.0
515,0,180.4,-3.0,0.0
575,0,180.4,-3.0,0.0
639,0,180.4,-3.0,0.0
700,0,180.4,-3.0,0.0
765,0,180.4,-3.0,0.0
831,0,180.4,-3.0,0.0
895,0,180.4,-3.0,0.0
950,0,180.4,-3.0,0.0
1015,0,180.4,-3.0,0.0
1076,0,180.4,-3.0,0.0
1140,0,180.4,-3.0,0.0
1201,0,180.4,-3.0,0.0
1264,0,180.4,-3.0,0.0
1326,0,180.4,-3.0,0.0
1391,0,180.4,-3.0,0.0
1456,0,180.4,-3.0,0.0
1517,0,180.4,-3.0,0.0
1576,0,180.4,-3.0,0.0
1639,0,180.4,-3.0,0.0
1701,0,180.4,-3.0,0.0
1765,0,180.4,-3.0,0.0
1825,0,180.4,-3.0,0.0
1889,0,180.4,-3.0,0.0
1951,0,180.4,-3.0,0.0
2015,0,180.4,-3.0,0.0
2079,0,180.4,-3.0,0.0
2137,0,180.4,-3.0,0.0
2200,0,180.4,-3.0,0.0
2265,0,180.4,5.0,0.0
2325,0,180.4,5.0,0.0
2392,0,180.4,5.0,0.0
2451,0,180.4,5.0,0.0
2515,0,180.4,5.0,0.0
2576,0,180.4,5.0,0.0
2641,0,180.4,5.0,0.0
2704,0,180.4,5.0,0.0
2768,0,180.4,5.0,0.0
2832,0,180.4,5.0,0.0
2895,0,180.4,5.0,0.0
2950,0,180.4,5.0,0.0
3015,0,180.4,5.0,0.0
3075,0,180.4,5.0,0.0
3140,0,180.4,5.0,0.0
3200,0,180.4,5.0,0.0
3266,0,180.4,5.0,0.0
3325,0,180.4,5.0,0.0
3390,0,180.4,5.0,0.0
3452,0,180.4,5.0,0.0
3518,0,180.4,5.0,0.0
3575,0,180.4,5.0,0.0
3638,0,180.4,5.0,0.0
3701,0,180.4,5.0,0.0
3765,0,180.4,5.0,0.0
3826,0,180.4,5.0,0.0
3887,0,180.4,5.0,0.0
3952,0,180.4,5.0,0.0
4015,0,180.4,5.0,0.0
4075,0,180.4,5.0,0.0
4141,0,180.4,5.0,0.0
4200,0,180.4,5.0,0.0
4264,0,180.4,5.0,0.0
4325,0,180.4,5.0,0.0
4390,0,180.4,5.0,0.0
4450,0,180.4,5.0,0.0
4515,0,180.4,5.0,0.0
4576,0,180.4,5.0,0.0
4640,0,180.4,5.0,0.0
4703,0,180.4,5.0,0.0
4767,0,180.4,5.0,0.0
4825,0,180.4,5.0,0.0
4889,0,180.4,5.0,0.0
4950,0,180.4,5.0,0.0
5016,0,180.4,5.0,0.0
5075,0,180.4,5.0,0.0
5140,0,180.4,5.0,0.0
5200,0,180.4,5.0,0.0
5262,0,180.4,5.0,0.0
5326,0,180.4,5.0,0.0
5391,0,180.4,5.0,0.0
5457,0,180.4,5.0,-15.0
5520,0,180.4,5.0,-15.0
5575,0,180.4,5.0,-15.0
5639,0,180.4,5.0,-15.0
5700,0,180.4,5.0,-15.0
5765,0,180.4,5.0,-15.0
5825,0,180.4,5.0,-15.0
5891,0,180.4,5.0,-15.0
5950,0,180.4,5.0,-15.0
6012,0,180.4,5.0,-15.0
6075,0,180.4,5.0,-15.0
6143,0,180.4,5.0,-15.0
6207,0,180.4,5.0,-15.0
6263,0,180.4,5.0,-15.0
6326,0,180.4,5.0,-15.0
6389,0,180.4,5.0,-15.0
6450,0,180.4,5.0,-15.0
6515,0,180.4,5.0,-15.0
6576,0,180.4,5.0,-15.0
6641,0,180.4,5.0,-15.0
6700,0,180.4,5.0,-15.0
6766,0,180.4,5.0,-15.0
6825,0,180.4,5.0,-15.0
6890,0,180.4,5.0,-15.0
6950,0,180.4,5.0,-15.0
7015,0,180.4,5.0,-15.0
7075,0,180.4,5.0,-15.0
7140,0,180.4,5.0,-15.0
7201,0,180.4,5.0,-15.0
7265,0,180.4,5.0,-15.0
7327,0,180.4,5.0,-15.0
7391,0,180.4,5.0,-15.0
7456,0,180.4,5.0,-15.0
7515,0,180.4,5.0,-15.0
7575,0,180.4,5.0,-15.0
7638,0,180.4,5.0,-15.0
7700,0,180.4,5.0,-15.0
7765,0,180.4,5.0,-15.0
7825,0,180.4,5.0,-15.0
7890,0,180.4,5.0,-15.0
7950,0,180.4,5.0,-15.0
8014,0,180.4,5.0,-15.0
8080,0,180.4,5.0,-15.0
8143,0,180.4,5.0,-15.0
8207,0,180.4,5.0,-15.0
8265,0,180.4,5.0,-15.0
8325,0,180.4,5.0,-15.0
8390,0,180.4,5.0,-15.0
8450,0,180.4,5.0,-15.0
8517,0,180.4,5.0,-15.0
8575,0,180.4,5.0,-15.0
8640,0,180.4,5.0,-15.0
8700,0,180.4,5.0,-15.0
8770,0,180.4,5.0,-15.0
8832,0,180.4,5.0,-15.0
8901,0,180.4,5.0,-15.0
8951,0,180.4,5.0,-15.0
9021,0,180.4,5.0,-15.0
9075,0,180.4,5.0,-15.0
9146,0,180.4,5.0,-15.0
9199,0,180.4,5.0,-15.0
9270,0,180.4,5.0,-15.0
9327,0,180.4,5.0,-15.0
9398,0,180.4,5.0,-15.0
9451,0,180.4,5.0,-15.0
9519,0,180.4,5.0,-15.0
9575,0,180.4,5.0,-15.0
9646,0,180.4,5.0,-15.0
9700,0,180.4,5.0,-15.0
9771,0,180.4,5.0,-15.0
9826,0,180.4,5.0,-15.0
9896,0,180.4,5.0,-15.0
9951,0,180.4,5.0,-15.0
10021,0,180.4,5.0,-15.0
10079,0,180.4,5.0,-15.0
10149,0,180.4,5.0,-15.0
10200,0,180.4,5.0,-15.0
10273,0,180.4,5.0,-15.0
10325,0,180.4,5.0,-15.0
10396,0,180.4,5.0,-15.0
