Time (ms),Conductance,X,Y,Z
11,0,180.4,-3.0,5.0
14,0,180.4,-3.0,5.0
18,0,180.4,-3.0,5.0
111,0,180.4,-3.0,5.0
114,0,180.4,-3.0,5.0
118,0,180.4,-3.0,5.0
231,0,180.4,-3.0,5.0
331,0,180.4,-3.0,5.0
440,0,180.4,-3.0,5.0
549,0,180.4,-3.0,5.0
665,0,180.4,-3.0,5.0
782,0,180.4,-3.0,5.0
881,0,180.4,-3.0,5.0
989,0,180.4,-3.0,5.0
1097,0,180.4,-3.0,5.0
1206,0,180.4,-3.0,5.0
1324,0,180.4,-3.0,5.0
1423,0,180.4,-3.0,5.0
1534,0,180.4,-3.0,5.0
1648,0,180.4,-3.0,5.0
1759,0,180.4,-3.0,5.0
1875,0,180.4,-3.0,5.0
1999,0,180.4,-3.0,5.0
2088,0,180.4,-3.0,5.0
2199,0,180.4,-3.0,5.0
2297,0,180.4,-3.0,5.0
2413,0,180.4,-3.0,5.0
2526,0,180.4,-3.0,5.0
2655,0,180.4,-3.0,5.0
2751,0,180.4,-3.0,5.0
2863,0,180.4,-3.0,5.0
2955,0,180.4,-3.0,5.0
3064,0,180.4,-3.0,5.0
3185,0,180.4,-3.0,5.0
3281,0,180.4,-3.0,5.0
3391,0,180.4,-3.0,5.0
3516,0,180.4,-3.0,5.0
3611,0,180.4,-3.0,5.0
5031,0,180.4,-3.0,5.0
5036,0,180.4,-3.0,5.0
5040,0,180.4,-3.0,5.0
5141,0,180.4,-3.0,5.0
5262,0,180.4,-3.0,5.0
5361,0,180.4,-3.0,5.0
5469,0,180.4,-3.0,5.0
5580,0,180.4,-3.0,5.0
5691,0,180.4,-3.0,50.0
5799,0,180.4,-3.0,50.0
5803,0,180.4,-3.0,50.0
5807,0,180.4,-3.0,50.0
5906,0,180.4,-3.0,50.0
6030,0,180.4,-3.0,50.0
