Time (ms),Conductance,X,Y,Z
26,0,180.4,-3.0,5.0
29,0,180.4,-3.0,5.0
31,0,180.4,-3.0,5.0
125,0,180.4,-3.0,5.0
140,0,180.4,-3.0,5.0
144,0,180.4,-3.0,5.0
235,0,180.4,-3.0,5.0
346,0,180.4,-3.0,5.0
457,0,180.4,-3.0,5.0
565,0,180.4,-3.0,5.0
675,0,180.4,-3.0,5.0
785,0,180.4,-3.0,5.0
891,0,180.4,-3.0,5.0
1001,0,180.4,-3.0,5.0
1124,0,180.4,-3.0,5.0
1219,0,180.4,-3.0,5.0
1329,0,180.4,-3.0,5.0
1441,0,180.4,-3.0,5.0
1547,0,180.4,-3.0,5.0
1660,0,180.4,-3.0,5.0
1766,0,180.4,-3.0,5.0
1876,0,180.4,-3.0,5.0
2001,0,180.4,-3.0,5.0
2096,0,180.4,-3.0,5.0
2207,0,180.4,-3.0,5.0
2317,0,180.4,-3.0,5.0
2428,0,180.4,-3.0,5.0
2532,0,180.4,-3.0,5.0
2652,0,180.4,-3.0,5.0
2751,0,180.4,-3.0,5.0
