Time (ms),Conductance,X,Y,Z
86,0,180.4,-3.0,5.0
91,0,180.4,-3.0,5.0
94,0,180.4,-3.0,5.0
211,0,180.4,-3.0,5.0
214,0,180.4,-3.0,5.0
217,0,180.4,-3.0,5.0
303,0,180.4,-3.0,5.0
412,0,180.4,-3.0,5.0
521,0,180.4,-3.0,5.0
647,0,180.4,-3.0,5.0
754,0,180.4,-3.0,5.0
869,0,180.4,-3.0,5.0
961,0,180.4,-3.0,5.0
1070,0,180.4,-3.0,5.0
1184,0,180.4,-3.0,5.0
1300,0,180.4,-3.0,5.0
1416,0,180.4,-3.0,5.0
1519,0,180.4,-3.0,5.0
1624,0,180.4,-3.0,5.0
1738,0,180.4,-3.0,5.0
1845,0,180.4,-3.0,5.0
1943,0,180.4,-3.0,5.0
2056,0,180.4,-3.0,5.0
2180,0,180.4,-3.0,5.0
2280,0,180.4,-3.0,5.0
2391,0,180.4,-3.0,5.0
2490,0,180.4,-3.0,5.0
2600,0,180.4,-3.0,5.0
2709,0,180.4,-3.0,5.0
2835,0,180.4,-3.0,5.0
2927,0,180.4,-3.0,5.0
3036,0,180.4,-3.0,5.0
3146,0,180.4,-3.0,5.0
3258,0,180.4,-3.0,5.0
3366,0,180.4,-3.0,5.0
3476,0,180.4,-3.0,5.0
3586,0,180.4,-3.0,5.0
3696,0,180.4,-3.0,5.0
3819,0,180.4,-3.0,5.0
3911,0,180.4,-3.0,5.0
4021,0,180.4,-3.0,5.0
4131,0,180.4,-3.0,5.0
4241,0,180.4,-3.0,5.0
4352,0,180.4,-3.0,5.0
4471,0,180.4,-3.0,5.0
4571,0,180.4,-3.0,5.0
4679,0,180.4,-3.0,5.0
4788,0,180.4,-3.0,5.0
4896,0,180.4,-3.0,5.0
5006,0,180.4,-3.0,5.0
5123,0,180.4,-3.0,5.0
5226,0,180.4,-3.0,5.0
5335,0,180.4,-3.0,5.0
5443,0,180.4,-3.0,5.0
5556,0,180.4,-3.0,5.0
5661,0,180.4,-3.0,5.0
5790,0,180.4,-3.0,5.0
5881,0,180.4,-3.0,5.0
5991,0,180.4,-3.0,5.0
6101,0,180.4,-3.0,5.0
6211,0,180.4,-3.0,5.0
6332,0,180.4,-3.0,5.0
6431,0,180.4,-3.0,5.0
6536,0,180.4,-3.0,5.0
6646,0,180.4,-3.0,5.0
6755,0,180.4,-3.0,5.0
6865,0,180.4,-3.0,5.0
6976,0,180.4,-3.0,5.0
7084,0,180.4,-3.0,5.0
7195,0,180.4,-3.0,5.0
7306,0,180.4,-3.0,5.0
7412,0,180.4,-3.0,5.0
7521,0,180.4,-3.0,5.0
7632,0,180.4,-3.0,5.0
7741,0,180.4,-3.0,5.0
7851,0,180.4,-3.0,5.0
7961,0,180.4,-3.0,5.0
8073,0,180.4,-3.0,5.0
8191,0,180.4,-3.0,5.0
8286,0,180.4,-3.0,5.0
8397,0,180.4,-3.0,5.0
8506,0,180.4,-3.0,5.0
8616,0,180.4,-3.0,5.0
