Time (ms),Conductance,X,Y,Z
341,5,180.4,-3.0,0.0
1340,5,180.4,-3.0,0.0
2339,4,180.4,-3.0,0.0
3336,4,180.4,-3.0,0.0
4336,3,180.4,5.0,0.0
5339,5,180.4,5.0,-1.0
6343,5,180.4,5.0,-2.0
7340,4,180.4,5.0,-3.0
8343,5,180.4,5.0,-4.0
9340,4,180.4,5.0,-5.0
10336,5,180.4,5.0,-6.0
11337,5,180.4,5.0,-7.0
12338,4,180.4,5.0,-8.0
13340,982,180.4,5.0,-9.0
14333,944,180.4,5.0,-9.0
15329,893,180.4,5.0,-9.0
16331,515,180.4,5.0,-9.0
17333,348,180.4,5.0,-9.0
18337,648,180.4,5.0,-9.0
19332,224,180.4,5.0,-9.0
20344,371,180.4,5.0,-9.0
21332,119,180.4,5.0,-9.0
22340,63,180.4,5.0,-9.0
23339,36,180.4,5.0,-9.0
24347,22,180.4,5.0,-9.0
25332,16,182.4,5.0,0.0
26340,11,182.4,5.0,0.0
27340,7,182.4,5.0,0.0
28341,5,182.4,5.0,0.0
29338,6,182.4,5.0,0.0
30337,4,182.4,5.0,0.0
31341,2,182.4,5.0,0.0
32338,3,182.4,5.0,0.0
33341,4,184.4,5.0,-5.0
34336,2,184.4,5.0,-7.0
35341,2,184.4,5.0,-8.0
36342,3,184.4,5.0,-9.0
37338,4,184.4,5.0,-10.0
38340,1002,184.4,5.0,-11.0
39329,741,184.4,5.0,-11.0
40333,1018,184.4,5.0,-11.0
41333,464,184.4,5.0,-11.0
42332,996,184.4,5.0,-11.0
43339,462,184.4,5.0,-11.0
44329,1004,184.4,5.0,-11.0
45358,419,184.4,5.0,-11.0
46345,135,184.4,5.0,-11.0
47349,69,184.4,5.0,-11.0
48347,38,184.4,5.0,-11.0
49348,24,184.4,5.0,-11.0
50345,16,184.4,5.0,-11.0
51348,10,184.4,0.0,0.0
52356,7,184.4,0.0,0.0
53356,7,184.4,0.0,0.0
54354,7,184.4,0.0,0.0
55354,6,184.4,0.0,0.0
56356,6,184.4,0.0,0.0
57355,4,184.4,0.0,0.0
58355,3,182.4,0.0,0.0
59371,4,182.4,0.0,0.0
60378,4,182.4,0.0,-8.0
61375,4,182.4,0.0,-9.0
62377,4,182.4,0.0,-10.0
63377,2,182.4,0.0,-11.0
64377,1,182.4,0.0,-12.0
65379,955,182.4,0.0,-13.0
66370,199,182.4,0.0,-13.0
67370,92,182.4,0.0,-13.0
68364,399,182.4,0.0,-13.0
69363,423,182.4,0.0,-13.0
70361,129,182.4,0.0,-13.0
71373,67,182.4,0.0,-13.0
72372,38,182.4,0.0,-13.0
73372,21,182.4,0.0,-13.0
74371,16,182.4,0.0,-13.0
75370,11,182.4,0.0,-13.0
76381,9,182.4,0.0,-13.0
77371,5,182.4,0.0,-13.0
78371,6,180.4,0.0,0.0
79371,6,180.4,0.0,-7.0
80371,5,180.4,0.0,-8.0
81370,4,180.4,0.0,-9.0
82371,5,180.4,0.0,-10.0
83370,3,180.4,0.0,-11.0
84372,4,180.4,0.0,-12.0
85391,994,180.4,0.0,-13.0
86378,809,180.4,0.0,-13.0
87378,735,180.4,0.0,-13.0
88379,1017,180.4,0.0,-13.0
89383,556,180.4,0.0,-13.0
90378,1011,180.4,0.0,-13.0
91381,471,180.4,0.0,-13.0
92388,140,180.4,0.0,-13.0
93390,866,180.4,0.0,-13.0
94378,193,180.4,0.0,-13.0
95395,96,180.4,0.0,-13.0
96383,57,180.4,0.0,-13.0
97396,38,180.4,0.0,-13.0
98394,26,178.4,-5.0,0.0
99421,19,178.4,-5.0,0.0
100432,14,178.4,-5.0,0.0
101432,7,178.4,-5.0,0.0
102431,5,178.4,-5.0,0.0
103436,8,178.4,-5.0,0.0
104431,7,178.4,-5.0,0.0
105436,7,178.4,-5.0,0.0
106431,7,180.4,-5.0,0.0
107455,587,180.4,-5.0,-7.0
108438,162,180.4,-5.0,-8.0
109445,87,180.4,-5.0,-8.0
110439,54,180.4,-5.0,-8.0
111438,33,180.4,-5.0,-8.0
112440,25,180.4,-5.0,-8.0
113438,19,180.4,-5.0,-8.0
114448,13,180.4,-5.0,-8.0
115461,11,180.4,-5.0,-8.0
116454,10,180.4,-5.0,-8.0
117459,9,180.4,-5.0,-8.0
118452,6,180.4,-5.0,-8.0
119452,4,182.4,-5.0,0.0
120453,4,182.4,-5.0,-6.0
121452,7,182.4,-5.0,-7.0
122454,5,182.4,-5.0,-8.0
123455,484,182.4,-5.0,-9.0
124443,146,182.4,-5.0,-9.0
125444,79,182.4,-5.0,-9.0
126445,48,182.4,-5.0,-9.0
127438,32,182.4,-5.0,-9.0
128451,21,182.4,-5.0,-9.0
129466,15,182.4,-5.0,-9.0
